,close_price,starting_price,high_price,low_price,trading_volume
20200318091000,250,252,252,250,333
20200318090800,254,248,254,248,975
20200318090700,255,255,255,255,3902
20200318090600,248,254,257,248,4035
20200318090500,252,248,252,248,1136
20200318090400,252,249,252,249,7558
20200318090300,248,248,248,247,4665
20200318090200,248,246,248,246,576
20200318090100,246,244,246,244,12570
20200318090000,244,238,244,238,9527
20200317153500,244,244,244,244,28
20200317153000,244,244,244,244,15346
20200317151900,243,241,244,241,50
20200317151800,241,241,245,240,59
20200317151700,241,247,247,241,12
20200317151600,247,245,247,244,5068
20200317151500,245,242,245,242,44
20200317151400,244,242,244,242,9885
20200317151300,243,240,244,240,10055
20200317151200,237,234,237,234,5
20200317151100,242,237,242,237,10001
20200317150900,240,232,240,232,10011
20200317150800,227,227,227,227,3629
20200317150700,227,231,231,227,11469
20200317150500,231,231,231,231,222
20200317150400,228,230,230,228,11075
20200317150300,231,231,231,231,111
20200317150100,231,231,231,231,11
20200317150000,231,232,232,231,22
20200317145900,233,234,234,233,7272
20200317145700,234,237,237,234,1761
20200317145600,234,234,234,234,9000
20200317145300,238,238,238,238,300
20200317145200,240,241,241,232,6267
20200317145100,241,241,241,241,2000
20200317145000,241,240,241,240,1122
20200317144900,239,239,239,239,4233
20200317144800,239,239,239,239,11
20200317144600,237,238,238,237,7
20200317144500,240,240,240,240,11
20200317144400,240,240,240,240,166
20200317144300,239,239,239,239,1
20200317144100,239,236,239,234,8716
20200317144000,236,240,240,236,4454
20200317143900,240,240,241,240,333
20200317143700,240,240,240,240,611
20200317143600,240,240,240,239,755
20200317143500,240,240,240,240,1222
20200317143400,240,239,240,238,5438
20200317143300,238,239,239,238,489
20200317143100,239,239,239,239,111
20200317142900,238,238,238,238,8249
20200317142700,238,238,238,238,122
20200317142600,238,238,238,238,922
20200317142500,238,236,238,236,112
20200317142400,237,237,237,237,1090
20200317142300,237,237,237,237,300
20200317142200,237,237,237,237,247
20200317142100,237,237,237,237,49
20200317142000,237,236,237,236,2355
20200317141900,236,235,236,235,2999
20200317141800,236,236,236,236,2222
20200317141700,236,235,236,235,1491
20200317141600,235,235,235,235,1505
20200317141500,236,236,236,236,333
20200317141400,235,237,237,235,4221
20200317141200,237,236,237,236,5719
20200317141100,236,236,236,236,14807
20200317141000,236,235,236,235,12399
20200317140900,235,234,235,234,6273
20200317140800,234,233,234,233,5556
20200317140700,233,232,233,232,23839
20200317140600,232,229,232,229,23093
20200317140500,229,229,229,228,6534
20200317140400,229,229,229,229,5683
20200317140300,229,228,229,228,13
20200317140200,229,228,229,228,4129
20200317140100,228,228,228,228,4260
20200317140000,227,227,227,227,287
20200317135800,228,228,228,228,1100
20200317135700,228,228,228,228,30
20200317135600,228,227,228,227,5249
20200317135500,227,227,227,227,10000
20200317135400,226,226,226,226,3707
20200317135300,226,226,226,226,5312
20200317135000,226,225,226,225,4445
20200317134900,225,225,225,225,2222
20200317134800,226,225,226,225,7205
20200317134700,224,223,224,223,2928
20200317134500,224,224,224,224,1301
20200317134400,224,224,224,224,2801
20200317134300,224,226,226,224,3
20200317134200,226,226,226,226,1
20200317133900,225,225,225,223,21005
20200317133600,223,224,224,223,7893
20200317133500,224,224,224,224,4800
20200317133300,223,223,223,223,2000
20200317133200,225,223,225,222,20000
20200317133100,223,224,224,223,3059
20200317133000,225,225,225,225,5444
20200317132900,225,225,225,225,2222
20200317132800,225,226,226,225,2332
20200317132700,225,224,225,224,11751
20200317132500,224,224,224,224,450
20200317132200,225,225,225,225,2367
20200317132100,225,225,225,225,5477
20200317132000,225,225,225,225,3223
20200317131700,221,222,222,221,9788
20200317131600,223,224,224,223,280
20200317131400,225,223,225,223,302
20200317130800,224,224,224,224,214
20200317130700,224,224,224,224,1624
20200317130600,225,226,226,225,7983
20200317130500,226,226,226,226,11
20200317130400,223,224,224,221,14537
20200317130300,225,225,225,225,5012
20200317130200,225,225,225,225,7054
20200317130100,225,225,225,225,4111
20200317130000,225,225,225,225,3033
20200317125900,225,224,225,224,6833
20200317125800,224,224,224,224,482
20200317125700,224,224,224,224,20
20200317125300,223,223,223,223,75
20200317125100,223,223,223,223,9430
20200317125000,224,224,224,224,73
20200317124900,224,224,224,224,30
20200317124700,224,224,224,224,230
20200317124600,224,224,224,224,5535
20200317124300,224,225,225,224,1000
20200317124200,225,225,225,225,1900
20200317124100,225,224,225,224,11999
20200317124000,223,223,223,223,6537
20200317123700,223,223,223,223,1
20200317123600,223,223,223,223,245
20200317123500,223,223,223,223,700
20200317123400,223,223,223,223,14
20200317123200,222,222,222,222,11
20200317123100,222,222,222,222,1899
20200317123000,222,222,222,222,600
20200317122900,222,220,222,220,15832
20200317122800,221,220,221,220,1296
20200317122700,220,220,220,220,20
20200317122600,220,220,220,220,1537
20200317122400,220,220,220,220,347
20200317122300,220,219,220,219,5394
20200317122200,218,218,218,218,444
20200317122100,217,220,220,217,42755
20200317122000,221,222,222,221,24354
20200317121700,222,223,223,222,3503
20200317121600,224,223,224,223,9686
20200317121500,223,223,223,223,1977
20200317121400,223,223,223,223,3000
20200317121300,224,226,226,221,80092
20200317121200,226,227,227,226,274
20200317121100,225,228,228,225,663
20200317121000,228,227,228,227,5005
20200317120900,227,224,227,224,2
20200317120800,228,227,228,227,11700
20200317120700,227,227,227,227,10
20200317120600,227,227,227,227,2720
20200317120500,226,226,226,226,8949
20200317120400,226,225,226,225,502
20200317120300,226,226,226,226,2
20200317120200,225,224,225,224,183
20200317120100,224,224,224,224,378
20200317120000,224,226,226,224,1048
20200317115900,226,225,226,225,2426
20200317115800,225,225,225,225,206
20200317115600,224,224,224,224,1033
20200317115500,222,222,222,222,5795
20200317115400,222,222,222,222,3205
20200317115300,222,222,222,222,4850
20200317115200,223,223,223,223,596
20200317115100,224,224,224,224,24
20200317114900,225,224,225,224,12
20200317114700,223,223,223,223,20
20200317114600,223,224,224,223,4980
20200317114500,223,225,225,223,4998
20200317114400,226,225,226,225,149
20200317114300,226,224,226,224,23697
20200317114200,224,225,225,224,36308
20200317114000,226,226,226,226,1
20200317113900,225,224,225,224,8999
20200317113800,224,223,224,223,585
20200317113700,222,222,222,222,15000
20200317113600,223,223,223,223,4134
20200317113500,223,223,223,223,200
20200317113400,223,223,223,223,45
20200317113300,223,222,223,222,3039
20200317113200,223,222,223,221,173
20200317113100,223,224,224,222,22933
